torque,WiCAN
SOH,SOH
SOC,SOC
Odo,ODOMETER
Speed,SPEED
Airbag,AIRBAG
Aux,LV_V
Aux SOC,LV_SOC
BattA,HV_A
BattV,HV_V
MaxREGEN,REGEN_MAX
MaxPOWER,POWER_MAX
CellDiff,HV_C_DIFF
Heater,HV_H_1
Batt Max,HV_T_MAX
Batt Min,HV_T_MIN
B01,HV_T_1
B02,HV_T_2
B03,HV_T_3
B04,HV_T_4
B05,HV_T_5
B06,HV_T_6
B07,HV_T_7
B08,HV_T_8
B09,HV_T_9
B10,HV_T_10
B11,HV_T_11
B12,HV_T_12
B13,HV_T_13
B14,HV_T_14
B15,HV_T_15
B16,HV_T_16
Ignition,IGNITION
Relay,HV_RELAY
CCC,HV_AH_CHARGED
CDC,HV_AH_DISCHARGED
CEC,KWH_CHARGED
CED,KWH_DISCHARGED
RPMR,DM_R_RPM
RPMF,DM_F_RPM
Capacitor,CAPACITOR
Resistance,RESISTANCE
OpTime,OP_TIME
Req Current,CHARGING_R_A
Steer Angle,STEER_ANGLE
C001,HV_C_V_001
C002,HV_C_V_002
C003,HV_C_V_003
C004,HV_C_V_004
C005,HV_C_V_005
C006,HV_C_V_006
C007,HV_C_V_007
C008,HV_C_V_008
C009,HV_C_V_009
C010,HV_C_V_010
C011,HV_C_V_011
C012,HV_C_V_012
C013,HV_C_V_013
C014,HV_C_V_014
C015,HV_C_V_015
C016,HV_C_V_016
C017,HV_C_V_017
C018,HV_C_V_018
C019,HV_C_V_019
C020,HV_C_V_020
C021,HV_C_V_021
C022,HV_C_V_022
C023,HV_C_V_023
C024,HV_C_V_024
C025,HV_C_V_025
C026,HV_C_V_026
C027,HV_C_V_027
C028,HV_C_V_028
C029,HV_C_V_029
C030,HV_C_V_030
C031,HV_C_V_031
C032,HV_C_V_032
C033,HV_C_V_033
C034,HV_C_V_034
C035,HV_C_V_035
C036,HV_C_V_036
C037,HV_C_V_037
C038,HV_C_V_038
C039,HV_C_V_039
C040,HV_C_V_040
C041,HV_C_V_041
C042,HV_C_V_042
C043,HV_C_V_043
C044,HV_C_V_044
C045,HV_C_V_045
C046,HV_C_V_046
C047,HV_C_V_047
C048,HV_C_V_048
C049,HV_C_V_049
C050,HV_C_V_050
C051,HV_C_V_051
C052,HV_C_V_052
C053,HV_C_V_053
C054,HV_C_V_054
C055,HV_C_V_055
C056,HV_C_V_056
C057,HV_C_V_057
C058,HV_C_V_058
C059,HV_C_V_059
C060,HV_C_V_060
C061,HV_C_V_061
C062,HV_C_V_062
C063,HV_C_V_063
C064,HV_C_V_064
C065,HV_C_V_065
C066,HV_C_V_066
C067,HV_C_V_067
C068,HV_C_V_068
C069,HV_C_V_069
C070,HV_C_V_070
C071,HV_C_V_071
C072,HV_C_V_072
C073,HV_C_V_073
C074,HV_C_V_074
C075,HV_C_V_075
C076,HV_C_V_076
C077,HV_C_V_077
C078,HV_C_V_078
C079,HV_C_V_079
C080,HV_C_V_080
C081,HV_C_V_081
C082,HV_C_V_082
C083,HV_C_V_083
C084,HV_C_V_084
C085,HV_C_V_085
C086,HV_C_V_086
C087,HV_C_V_087
C088,HV_C_V_088
C089,HV_C_V_089
C090,HV_C_V_090
C091,HV_C_V_091
C092,HV_C_V_092
C093,HV_C_V_093
C094,HV_C_V_094
C095,HV_C_V_095
